plate	round	well	tile	z	channel
1	1	A1	196	0	488_nm
1	1	A1	196	0	561_nm
1	1	A1	196	0	638_nm
1	1	A1	197	0	405_nm
1	1	A1	197	0	488_nm
1	1	A1	197	0	561_nm
1	1	A1	197	0	638_nm
1	1	A1	198	0	405_nm
1	1	A1	198	0	488_nm
1	1	A1	198	0	561_nm
1	1	A1	198	0	638_nm
1	1	A1	199	0	405_nm
1	1	A1	199	0	488_nm
1	1	A1	199	0	561_nm
1	1	A1	199	0	638_nm
1	1	A1	200	0	405_nm
1	1	A1	200	0	488_nm
1	1	A1	200	0	561_nm
1	1	A1	200	0	638_nm
1	1	A1	201	0	405_nm
1	1	A1	201	0	488_nm
1	1	A1	201	0	561_nm
1	1	A1	201	0	638_nm
1	1	A1	202	0	405_nm
1	1	A1	202	0	488_nm
1	1	A1	202	0	561_nm
1	1	A1	202	0	638_nm
1	1	A1	203	0	405_nm
1	1	A1	203	0	488_nm
1	1	A1	203	0	561_nm
1	1	A1	203	0	638_nm
1	1	A1	204	0	405_nm
1	1	A1	204	0	488_nm
1	1	A1	204	0	561_nm
1	1	A1	204	0	638_nm
1	1	A1	205	0	405_nm
1	1	A1	205	0	488_nm
1	1	A1	205	0	561_nm
1	1	A1	205	0	638_nm
1	1	A1	206	0	405_nm
1	1	A1	206	0	488_nm
1	1	A1	206	0	561_nm
1	1	A1	206	0	638_nm
1	1	A1	207	0	405_nm
1	1	A1	207	0	488_nm
1	1	A1	207	0	561_nm
1	1	A1	207	0	638_nm
1	1	A1	208	0	405_nm
1	1	A1	208	0	488_nm
1	1	A1	208	0	561_nm
1	1	A1	208	0	638_nm
1	1	A1	209	0	405_nm
1	1	A1	209	0	488_nm
1	1	A1	209	0	561_nm
1	1	A1	209	0	638_nm
1	1	A1	210	0	405_nm
1	1	A1	210	0	488_nm
1	1	A1	210	0	561_nm
1	1	A1	210	0	638_nm
1	1	A1	211	0	405_nm
1	1	A1	211	0	488_nm
1	1	A1	211	0	561_nm
1	1	A1	211	0	638_nm
1	1	A1	212	0	405_nm
1	1	A1	212	0	488_nm
1	1	A1	212	0	561_nm
1	1	A1	212	0	638_nm
1	1	A1	213	0	405_nm
1	1	A1	213	0	488_nm
1	1	A1	213	0	561_nm
1	1	A1	213	0	638_nm
1	1	A1	214	0	405_nm
1	1	A1	214	0	488_nm
1	1	A1	214	0	561_nm
1	1	A1	214	0	638_nm
1	1	A1	215	0	405_nm
1	1	A1	215	0	488_nm
1	1	A1	215	0	561_nm
1	1	A1	215	0	638_nm
1	1	A1	216	0	405_nm
1	1	A1	216	0	488_nm
1	1	A1	216	0	561_nm
1	1	A1	216	0	638_nm
1	1	A1	217	0	405_nm
1	1	A1	217	0	488_nm
